converted,GameLevel,NumGameDays,NumGameDays4Plus,NumInGameMessagesSent,NumSpaceHeroBadges,NumFriendRequestIgnored,NumFriends,AcquiredSpaceship,AcquiredIonWeapon,TimesLostSpaceship,TimesKilled,TimesCaptain,TimesNavigator,PurchasedCoinPackSmall,PurchasedCoinPackLarge,NumAdsClicked,DaysUser,UserConsole,UserHasOldOS
no,10,25,0,155,0,85,17,no,no,0,0,0,0,yes,no,2,3684,yes,no
no,7,23,0,200,0,80,0,no,no,0,0,0,0,no,yes,10,2861,yes,no
no,6,22,1,138,0,62,31,no,no,3,1,0,3,no,no,19,3470,yes,no
no,5,7,0,60,0,0,0,no,no,0,0,0,0,no,yes,6,4080,yes,no
no,9,2,0,0,0,13,0,no,no,19,0,0,0,no,no,0,2282,yes,no
no,8,17,12,0,0,31,29,yes,no,8,0,0,0,yes,no,19,2892,yes,no
no,8,20,0,61,0,19,0,no,no,0,0,0,0,no,yes,4,3197,yes,no
yes,10,25,13,78,1,36,9,yes,no,14,0,2,0,no,no,13,2769,yes,no
no,10,17,0,41,0,0,0,no,no,1,0,0,0,yes,yes,5,3319,yes,no
no,8,23,0,131,6,20,11,no,no,0,0,1,1,yes,no,1,2953,yes,yes
no,5,8,1,0,0,0,15,no,no,0,0,2,0,no,yes,1,2039,no,no
no,1,3,0,0,0,0,0,yes,no,0,0,4,0,no,no,8,2953,yes,no
no,7,8,0,3,0,0,0,no,no,0,0,0,0,no,yes,4,2527,yes,no
no,9,12,0,0,0,9,12,yes,no,3,0,0,0,no,no,8,2769,yes,no
no,9,20,4,31,0,53,48,yes,no,1,0,18,3,yes,no,12,2404,yes,no
no,2,2,2,164,0,88,0,no,no,25,0,12,2,no,no,0,1948,yes,no
no,6,20,2,124,1,66,10,yes,no,10,0,0,0,no,no,4,3378,yes,yes
no,8,9,0,16,1,47,322,yes,no,2,0,0,0,no,no,9,1066,yes,no
yes,10,20,0,4,0,0,6,no,no,4,0,0,0,no,no,5,3288,yes,no
no,7,8,0,0,0,38,194,yes,no,0,0,0,0,yes,no,6,2039,yes,no
yes,6,15,0,0,0,0,36,no,no,0,0,0,0,no,yes,25,2922,yes,no
no,8,2,1,2,0,3,0,no,no,10,0,0,0,no,no,11,2374,yes,yes
yes,5,20,1,79,0,1,36,no,no,3,0,13,0,yes,yes,7,3653,yes,no
no,2,17,0,138,0,0,0,no,no,4,0,0,0,no,yes,3,2343,no,no
no,7,3,0,0,0,0,15,no,no,0,0,0,0,no,no,6,1400,yes,no
no,7,16,0,4,0,0,0,no,no,5,0,0,0,no,yes,11,2527,yes,no
no,9,25,0,102,0,91,7,no,no,9,0,0,0,yes,no,7,1431,yes,no
no,7,15,0,85,0,95,17,no,no,2,0,0,1,no,no,1,1066,yes,no
no,8,12,2,34,0,53,150,yes,no,2,0,1,0,yes,no,1,2678,yes,no
no,8,21,0,36,0,115,0,no,no,6,0,0,0,no,yes,7,2313,yes,no
no,5,16,0,18,0,0,0,no,no,0,0,0,0,no,no,1,4080,yes,no
no,5,5,0,36,3,6,108,no,no,0,0,0,0,yes,no,5,1736,yes,no
no,2,6,0,24,0,0,0,no,no,0,0,0,0,no,no,1,3927,yes,no
no,2,19,0,116,0,89,25,no,no,21,0,0,0,no,no,8,2800,yes,no
no,2,10,0,10,0,28,45,no,no,1,0,0,0,yes,no,10,1889,yes,no
no,1,18,0,47,0,3,0,no,no,16,0,0,0,no,no,3,3500,no,no
no,2,6,1,81,0,16,0,no,no,0,0,0,0,no,no,6,3074,yes,no
no,10,11,0,0,0,0,0,no,no,0,0,0,0,no,yes,11,3562,yes,no
no,10,27,1,416,0,104,51,yes,no,0,0,0,0,yes,no,6,2831,yes,no
no,6,8,3,0,0,0,0,yes,no,0,0,10,2,no,no,7,1889,yes,no
no,7,15,9,228,3,66,12,no,no,17,0,0,4,no,no,24,2009,yes,no
yes,6,18,0,10,10,85,252,no,no,1,0,0,7,yes,no,10,2192,yes,no
no,7,13,0,95,0,47,0,no,no,2,0,0,0,yes,yes,1,2892,no,no
no,6,18,2,224,0,97,21,no,no,0,0,0,0,yes,no,24,3105,no,yes
no,1,9,0,0,0,0,0,no,no,0,0,0,0,no,no,4,1917,no,no
yes,6,7,0,8,0,0,96,no,no,0,0,0,0,no,no,15,1492,no,no
no,8,7,0,75,0,0,0,no,no,35,0,0,0,no,no,6,2313,yes,no
no,4,3,2,0,0,0,0,no,no,0,0,0,0,no,no,6,2282,yes,no
no,9,5,0,242,9,118,24,no,no,0,0,0,0,yes,no,12,1858,yes,no
no,8,22,0,123,0,19,0,no,no,0,0,0,0,no,no,6,2984,yes,no
no,7,19,0,0,0,2,1,no,no,0,0,0,0,yes,yes,10,4108,yes,no
no,8,26,5,92,5,5,6,yes,no,1,0,0,0,yes,yes,7,2070,yes,no
no,9,9,0,19,0,32,5,yes,no,0,0,0,0,no,no,11,1613,yes,no
no,6,16,0,0,0,0,0,no,no,3,0,0,0,no,yes,11,2892,yes,no
no,10,17,0,140,6,96,479,no,no,8,0,0,0,yes,no,13,2831,yes,no
no,5,2,1,80,1,92,11,no,no,0,0,0,0,no,no,6,2404,no,no
no,7,5,0,0,1,2,234,no,no,0,0,0,2,yes,no,12,2101,yes,no
no,10,17,0,170,0,81,9,no,no,9,0,0,0,no,no,12,2831,yes,no
no,2,2,0,0,0,0,227,no,no,0,0,0,0,yes,no,3,2162,yes,no
no,10,16,11,308,0,91,354,yes,no,10,0,0,0,no,no,5,1978,yes,no
no,8,17,0,207,0,49,419,yes,no,0,0,1,7,yes,no,4,2557,yes,no
yes,10,23,0,177,0,81,10,no,no,2,0,0,0,no,no,7,3350,yes,no
no,7,19,1,0,10,0,260,yes,no,0,0,0,0,yes,no,9,2496,yes,no
no,6,14,0,71,1,0,3,no,no,0,0,0,0,no,yes,1,2861,yes,no
no,9,19,5,0,3,42,64,yes,no,0,0,38,18,no,yes,8,3988,yes,no
no,2,13,6,0,0,6,0,yes,no,1,0,2,27,no,yes,9,3350,yes,no
no,6,2,0,69,0,55,0,no,no,0,0,0,3,no,no,11,3105,yes,no
no,8,18,0,1,0,95,96,no,no,12,0,0,0,no,no,2,2922,yes,no
no,7,22,0,37,0,2,0,yes,no,0,0,0,0,no,no,8,2831,yes,yes
no,2,2,0,50,0,0,0,no,no,0,0,0,0,no,no,1,2313,yes,no
no,7,20,4,147,0,28,0,yes,no,0,0,8,0,no,no,2,2101,yes,no
yes,2,4,0,0,0,0,129,no,no,0,0,0,0,no,no,9,2678,yes,no
no,7,11,0,0,0,0,0,no,no,0,0,0,0,no,yes,2,3562,yes,no
no,8,14,0,179,0,12,0,yes,no,0,0,0,0,no,no,7,3105,yes,no
no,9,15,0,148,0,23,0,yes,no,0,0,0,0,no,no,2,2496,no,no
no,2,1,0,0,0,0,28,no,no,0,0,0,0,no,no,7,2404,no,no
no,4,19,0,153,0,6,44,no,no,18,0,0,0,yes,no,8,3531,yes,yes
no,9,16,0,0,0,0,42,no,no,2,0,0,0,yes,yes,26,3623,yes,no
no,5,1,0,4,0,0,5,no,no,0,0,0,0,no,no,16,3439,yes,no
no,3,19,1,163,0,21,0,no,no,5,0,11,0,no,no,4,3623,yes,no
yes,2,10,2,1,0,0,7,yes,no,0,0,0,0,yes,yes,3,2678,yes,no
no,5,4,0,0,0,3,0,no,no,0,0,0,0,no,yes,5,2619,yes,no
no,5,3,1,0,0,111,67,no,no,5,0,4,1,no,no,20,3044,yes,no
no,7,7,0,14,0,33,1,yes,no,0,0,6,0,no,no,13,2404,yes,no
no,6,6,0,0,0,1,5,no,no,0,0,0,0,no,yes,10,1948,no,no
no,6,2,0,0,0,0,0,no,no,0,0,0,0,no,yes,9,2162,yes,no
no,7,19,0,8,0,61,3,no,no,2,0,0,0,yes,no,5,2647,yes,yes
no,7,12,0,0,0,0,0,yes,no,0,0,0,0,yes,yes,5,2769,yes,no
no,2,17,0,0,0,0,0,no,no,0,0,0,0,no,no,8,2800,no,yes
no,7,22,0,0,0,0,0,no,no,0,0,0,0,yes,no,9,3166,yes,no
no,10,20,0,97,7,66,107,yes,no,0,0,0,0,yes,no,12,2313,yes,no
no,5,17,6,106,0,40,180,no,yes,3,0,0,0,yes,no,14,3988,no,no
no,10,4,0,0,0,2,0,no,no,0,0,0,0,yes,no,5,3044,yes,no
no,9,18,0,1,1,0,89,no,no,0,0,0,0,yes,yes,8,2282,yes,no
no,5,2,0,0,4,0,173,no,no,0,0,0,0,no,no,12,2404,yes,no
no,5,22,1,1,0,0,0,yes,no,1,0,13,2,no,yes,9,3350,yes,no
no,10,28,15,161,0,47,0,yes,no,38,0,1,0,no,no,1,4080,yes,no
no,5,12,4,100,0,15,0,yes,no,0,0,0,0,no,no,2,3957,yes,no
no,10,22,0,65,0,47,0,yes,no,0,0,0,0,no,yes,6,3835,yes,no
no,1,15,0,2,0,3,342,no,no,0,0,0,0,no,yes,12,1613,yes,no
no,10,2,0,0,0,0,0,yes,no,0,0,0,0,no,yes,6,2313,yes,no
no,8,14,0,33,0,34,1,no,no,0,0,0,0,yes,no,3,2254,yes,yes
yes,9,19,0,10,0,0,28,yes,no,0,0,0,0,yes,no,33,2009,yes,no
yes,6,26,4,0,1,1,79,no,no,21,22,0,2,no,no,35,2739,yes,no
no,5,8,0,0,0,13,0,no,no,0,0,0,0,yes,yes,6,2009,yes,no
no,5,15,0,0,0,10,4,no,no,0,0,0,0,no,yes,23,3258,no,no
no,5,2,0,121,0,9,5,yes,no,6,0,0,0,yes,no,2,3409,yes,no
no,10,20,2,91,10,90,68,yes,no,2,0,0,4,no,no,3,1797,yes,no
no,6,2,0,0,0,0,1,no,no,1,0,0,0,no,no,1,3288,yes,yes
no,9,25,5,0,0,0,50,no,no,6,0,0,0,no,yes,33,2192,no,no
no,8,17,0,0,0,0,0,yes,no,0,0,0,0,no,yes,1,2466,yes,no
no,7,12,0,0,0,0,0,no,no,0,0,0,0,no,yes,4,3835,yes,yes
no,6,17,0,37,9,36,20,no,no,15,0,2,0,no,no,13,3013,no,no
no,8,10,0,29,8,1,73,yes,no,0,0,0,0,yes,no,10,2404,yes,no
yes,7,2,0,19,6,26,184,no,no,2,0,0,0,no,yes,3,3105,yes,no
no,8,5,0,0,0,2,0,no,no,0,0,2,25,no,yes,8,3166,yes,no
no,8,3,0,7,0,3,402,no,no,1,0,0,0,no,no,2,3319,yes,yes
no,9,19,0,0,0,0,1,no,no,0,0,0,0,no,no,19,2101,yes,no
no,9,22,0,0,0,5,0,yes,no,1,0,0,1,no,no,8,4018,yes,no
no,7,18,6,58,0,71,1,yes,no,1,0,0,0,no,yes,6,2588,yes,no
no,6,1,1,292,0,23,10,no,no,0,0,0,0,yes,yes,1,2374,no,yes
no,1,1,1,164,0,105,0,no,no,0,0,1,0,yes,no,6,2588,yes,no
no,9,16,0,100,0,101,138,yes,no,9,0,0,2,no,no,3,2282,yes,yes
no,8,14,0,79,2,51,122,no,no,13,0,0,1,no,no,24,2892,yes,no
no,6,11,0,3,0,3,8,yes,no,0,0,0,0,no,no,21,2739,no,yes
yes,5,6,2,64,0,14,107,yes,no,0,0,0,0,no,no,16,2343,yes,no
no,7,4,1,107,0,68,34,yes,no,0,0,12,1,yes,no,2,2678,yes,no
no,5,19,0,39,0,27,11,yes,no,0,0,0,0,no,no,23,2588,yes,no
no,7,19,0,59,11,67,48,yes,no,1,0,0,0,no,no,11,1917,yes,no
no,10,24,0,218,0,73,61,yes,yes,0,0,0,0,yes,no,5,2953,yes,no
no,10,22,1,163,0,71,0,yes,no,10,0,0,0,yes,no,8,2496,yes,no
no,6,10,0,0,0,0,0,no,no,0,0,0,0,no,yes,5,3865,yes,no
no,10,10,1,12,0,21,256,yes,no,0,0,0,39,yes,no,20,1827,yes,no
no,9,22,0,171,0,57,143,no,no,0,0,0,0,no,no,8,2557,yes,no
no,10,17,1,2,0,7,0,no,no,0,0,0,0,no,no,1,1552,no,no
no,9,13,11,238,1,121,48,no,no,6,0,3,9,yes,no,8,2313,yes,no
no,8,17,13,203,0,68,0,yes,no,0,0,2,6,no,yes,12,2374,yes,no
yes,9,18,2,98,12,56,35,no,no,3,0,0,1,no,no,9,2162,yes,no
no,1,7,0,0,0,0,0,no,no,0,23,0,0,yes,no,3,2131,yes,no
no,9,5,3,143,5,105,21,yes,no,5,0,0,2,no,yes,8,1158,yes,no
no,8,20,1,20,0,46,273,yes,no,6,0,0,0,no,no,2,1827,yes,yes
no,8,2,1,15,9,36,15,yes,no,0,0,4,0,no,no,3,2282,no,no
yes,5,2,0,0,0,0,366,yes,no,0,0,0,0,no,no,3,2527,yes,no
no,9,21,13,25,0,105,31,yes,no,0,10,34,31,yes,no,9,2861,yes,no
no,6,5,3,292,8,87,78,yes,no,4,0,0,0,no,no,19,2313,yes,no
no,9,14,0,16,3,59,47,no,no,0,0,0,2,yes,no,3,2343,yes,no
no,6,6,0,28,0,0,0,no,no,6,0,0,0,no,no,3,2708,yes,no
no,7,17,0,0,0,0,70,no,no,4,0,0,0,yes,no,6,2282,yes,yes
no,1,1,0,0,0,0,1,no,no,1,0,0,0,no,no,11,2404,no,no
no,6,20,0,191,0,87,1,no,no,1,0,0,0,no,no,11,3623,yes,no
no,1,4,0,0,0,0,2,no,no,0,0,0,0,no,yes,9,3439,no,no
no,2,9,0,138,0,31,0,no,no,11,0,0,0,yes,no,7,2192,yes,no
no,9,19,6,231,9,72,451,no,no,0,0,0,0,no,no,10,2435,yes,no
no,10,19,0,292,6,83,10,no,no,7,0,0,0,no,no,9,2647,yes,no
no,9,16,11,3,0,1,0,yes,no,0,0,0,15,no,no,11,2953,yes,no
no,5,17,0,0,0,0,0,no,no,0,0,0,0,yes,yes,2,4049,yes,no
no,10,11,1,249,0,91,226,no,no,0,0,0,1,no,no,37,1705,yes,no
no,5,2,0,32,0,79,262,no,no,0,0,0,0,yes,no,0,2313,yes,no
yes,5,8,0,0,0,0,52,no,no,0,0,0,0,no,no,16,3592,yes,no
no,5,17,0,21,0,0,0,no,no,10,0,0,0,no,yes,8,2162,yes,no
no,2,18,2,112,0,86,196,no,no,0,0,0,0,yes,no,1,2374,yes,no
yes,8,24,12,117,3,118,4,yes,no,8,0,0,54,no,no,31,2527,yes,no
no,2,1,0,0,0,0,0,no,no,0,0,0,0,yes,no,3,2588,yes,no
no,2,8,2,233,0,34,22,no,no,2,0,0,4,no,no,12,2892,yes,no
no,10,4,0,0,0,0,0,no,no,1,0,0,0,no,no,4,1858,yes,no
no,7,12,0,0,0,0,384,no,no,14,0,0,0,no,no,7,1978,yes,no
no,4,11,0,139,0,28,6,no,no,54,0,0,0,yes,yes,6,2619,yes,no
no,3,9,0,0,0,1,101,no,no,0,0,0,2,no,yes,8,1400,yes,no
no,2,13,0,0,0,0,0,no,no,0,0,0,0,no,yes,6,1889,no,no
no,8,5,0,59,0,28,0,yes,no,0,0,0,10,no,no,8,3562,yes,no
no,5,1,0,0,0,0,1,no,no,0,0,0,0,no,no,8,2557,yes,no
no,10,23,5,410,0,97,68,yes,no,2,0,0,1,no,no,18,3013,yes,no
no,9,23,15,199,0,37,322,yes,no,20,0,0,0,yes,no,5,1583,yes,no
no,7,15,1,0,0,13,0,yes,no,0,0,0,0,no,yes,8,3653,yes,no
no,5,4,0,21,0,47,1,no,no,0,0,0,0,no,no,6,2892,yes,no
no,2,6,2,170,0,19,9,yes,no,15,0,2,0,yes,yes,16,3258,yes,no
no,1,1,0,0,0,13,262,no,no,0,0,0,0,yes,no,20,3896,yes,yes
no,7,15,0,44,0,0,14,yes,no,17,0,1,0,no,no,18,2619,yes,no
yes,9,11,0,175,7,87,193,yes,no,4,0,0,1,yes,no,23,2101,yes,no
no,9,18,6,293,0,85,0,no,no,19,0,0,0,yes,no,1,2192,no,no
no,6,16,0,154,0,72,67,no,no,4,0,0,0,yes,no,5,2192,no,no
yes,10,12,2,0,0,0,31,yes,no,0,0,7,36,no,no,7,3774,yes,no
no,7,4,2,41,0,0,0,yes,no,0,0,0,0,no,yes,4,2739,yes,no
no,1,15,0,0,0,0,0,no,no,2,0,0,0,yes,no,3,2922,yes,no
no,7,7,0,29,0,11,14,no,no,0,0,0,0,no,no,6,3258,yes,no
no,5,10,0,8,0,0,2,no,no,0,0,0,0,no,no,11,3105,yes,no
no,7,19,7,24,0,48,87,no,no,0,0,17,7,no,no,4,2466,yes,no
no,10,22,11,11,1,1,2,yes,no,0,0,0,0,no,no,10,3439,yes,no
no,7,15,0,237,0,65,26,no,no,35,0,0,0,yes,no,4,2254,yes,no
no,10,19,1,217,0,95,21,yes,no,0,0,0,0,no,no,9,1400,yes,no
no,2,4,0,0,0,0,17,no,no,12,0,0,0,yes,no,5,2101,yes,no
no,1,2,0,179,0,61,0,no,no,0,16,0,0,no,no,7,2131,yes,yes
no,7,12,0,45,1,66,98,yes,no,0,0,0,1,yes,no,9,1978,yes,no
no,4,1,0,0,0,1,1,no,no,0,0,0,0,yes,no,6,2343,yes,no
no,2,1,0,6,0,0,0,yes,no,0,0,0,0,no,no,3,2739,no,no
yes,6,19,0,0,0,0,186,no,no,0,0,0,0,yes,no,6,2466,yes,no
no,7,11,0,0,0,0,0,yes,no,0,0,0,0,no,yes,1,3896,yes,no
no,1,9,0,136,0,31,7,no,no,13,0,1,1,no,yes,14,2101,yes,no
no,5,8,1,0,0,13,1,yes,no,0,0,5,0,no,no,19,3592,yes,yes
no,10,17,7,18,6,38,23,yes,no,4,0,0,0,no,no,9,3350,yes,no
no,8,8,0,8,0,5,6,no,no,1,0,0,3,no,yes,11,1917,yes,no
yes,6,4,3,400,6,61,73,yes,no,0,0,6,20,no,no,1,2223,yes,no
no,6,1,0,0,0,0,30,no,no,0,0,0,0,yes,yes,9,2831,no,no
no,6,9,0,0,0,46,6,yes,no,0,0,0,0,yes,yes,18,3592,no,no
no,6,13,1,0,0,4,2,no,no,6,0,0,0,no,no,8,3653,yes,no
no,2,6,0,0,0,4,0,no,no,0,0,17,7,no,no,3,3350,yes,no
no,2,12,3,0,0,27,456,yes,no,15,0,0,8,no,no,4,2343,yes,no
no,2,2,0,52,0,56,0,yes,no,0,0,0,0,no,yes,7,2162,yes,yes
no,6,1,0,0,0,0,0,yes,no,0,0,0,0,no,no,8,2282,yes,no
no,6,1,0,0,0,0,0,no,no,0,0,0,0,no,no,5,3957,yes,no
no,7,10,0,0,0,0,0,no,no,0,0,0,0,no,yes,10,1917,yes,no
no,9,8,0,0,8,18,175,no,no,0,0,0,0,no,no,6,2131,no,no
yes,10,23,16,95,0,117,1,yes,no,8,0,53,3,no,no,11,2466,no,no
no,6,17,0,39,0,45,209,no,no,6,0,0,0,no,no,4,3105,yes,no
no,2,1,0,0,0,3,1,no,no,0,0,0,0,no,yes,7,1492,no,no
yes,8,3,0,0,0,0,65,no,no,0,0,0,0,no,no,11,2922,yes,no
no,6,15,0,39,0,16,66,no,no,0,0,0,0,no,no,15,2039,yes,no
no,10,13,1,0,0,0,0,yes,no,25,0,0,0,no,yes,5,2313,yes,no
no,8,19,0,0,6,11,35,no,no,0,0,0,0,no,no,5,1492,no,no
no,8,18,0,255,0,65,46,no,no,2,0,0,0,no,no,12,2343,no,no
no,9,8,0,80,6,47,71,no,no,0,0,0,1,yes,no,6,2009,yes,no
no,4,17,0,25,2,0,41,yes,no,0,0,0,0,no,no,8,2922,yes,no
no,5,21,2,48,0,1,141,yes,no,6,0,0,21,no,no,17,2192,yes,no
no,10,15,0,175,0,8,0,yes,no,5,0,0,0,no,yes,9,4049,yes,no
no,5,7,0,53,0,18,170,no,no,5,0,0,2,yes,yes,1,2739,yes,no
yes,7,6,0,0,0,0,0,no,no,0,0,0,0,no,no,2,1674,yes,no
no,8,21,0,70,0,23,0,yes,no,0,0,0,0,no,yes,4,3166,yes,no
no,3,9,2,160,2,45,29,no,no,5,0,0,0,no,no,17,2769,yes,no
yes,10,17,0,46,1,70,39,yes,no,0,0,0,0,yes,no,9,3684,yes,no
yes,4,22,6,1,0,0,47,no,no,0,0,3,0,yes,no,7,3562,yes,no
no,6,7,0,1,0,0,0,no,yes,4,0,0,0,no,no,5,3227,yes,no
no,5,13,0,9,0,0,0,no,no,0,0,0,0,yes,no,10,2739,yes,no
no,2,1,0,0,0,0,0,no,no,0,0,0,0,no,yes,9,3105,no,no
no,6,18,0,194,4,53,72,no,no,0,0,0,0,yes,no,10,2800,yes,no
no,6,6,0,29,0,100,226,no,no,2,0,34,2,yes,no,10,2527,yes,yes
no,2,12,0,0,0,34,455,no,no,0,1,0,0,no,yes,9,2374,yes,no
no,6,5,2,269,0,12,3,yes,no,1,0,0,1,no,no,16,1797,yes,no
no,3,3,0,0,0,0,0,no,no,0,0,0,0,no,no,1,4018,yes,no
no,2,1,0,32,2,0,3,no,no,0,0,3,0,no,yes,10,4049,yes,no
no,7,4,1,8,0,7,0,yes,no,0,0,0,0,no,no,3,3166,yes,no
no,2,4,0,3,0,4,313,yes,no,0,0,0,7,no,no,3,3623,no,no
no,5,1,0,1,0,0,11,no,no,0,0,0,0,yes,no,8,2070,yes,no
no,2,2,0,35,0,0,0,no,no,0,1,0,0,no,yes,9,3957,no,no
no,4,1,0,189,0,45,2,no,no,4,0,0,0,no,no,10,3074,yes,no
no,10,26,0,262,0,75,389,no,no,49,0,0,0,yes,no,1,2254,yes,no
no,2,4,0,0,0,0,0,no,no,3,0,0,0,no,no,2,3044,yes,no
no,8,18,0,22,0,97,0,no,no,2,0,0,0,no,yes,7,2800,yes,yes
no,7,20,0,487,0,103,9,no,no,8,0,0,0,yes,yes,9,1948,yes,no
no,8,19,0,405,0,43,0,no,no,56,0,0,0,no,no,3,2984,yes,no
no,6,3,0,223,0,54,0,no,no,0,0,0,0,yes,no,1,3350,yes,no
yes,10,21,5,94,0,34,337,no,no,5,21,0,0,yes,no,15,1339,yes,no
no,6,2,1,0,0,0,13,yes,no,0,0,5,3,yes,yes,6,3166,yes,no
no,9,19,0,63,3,31,430,no,no,21,0,0,0,yes,yes,1,1644,yes,no
no,9,17,0,0,0,0,0,no,no,1,0,0,0,no,no,10,3105,yes,no
no,1,4,0,89,0,77,0,no,no,0,0,0,0,no,no,1,1552,no,no
no,8,4,0,61,0,49,71,yes,no,46,0,0,4,no,no,11,2466,yes,no
no,9,19,13,135,0,39,0,yes,no,29,0,0,2,no,yes,4,2769,yes,no
no,9,17,0,263,0,119,168,no,no,28,0,0,0,yes,no,1,2374,yes,no
no,10,18,12,4,0,0,25,no,no,0,0,0,0,no,yes,5,2162,yes,no
yes,10,8,5,155,0,27,10,no,no,0,0,0,0,no,yes,30,3715,yes,no
no,9,16,11,45,2,35,189,yes,no,0,0,0,0,no,no,1,2647,yes,no
yes,2,19,0,34,5,48,6,no,no,1,0,0,0,yes,no,24,2647,no,no
no,6,12,0,0,0,0,0,no,no,0,0,0,0,no,no,4,3592,yes,no
yes,6,19,1,52,0,0,22,yes,no,2,0,0,0,no,no,15,2466,yes,no
no,6,14,0,263,0,78,22,no,no,2,0,0,0,yes,no,0,3135,yes,no
no,9,20,0,19,0,0,0,no,no,0,0,0,0,no,no,4,2739,no,no
