converted,GameLevel,NumGameDays,NumGameDays4Plus,NumInGameMessagesSent,NumSpaceHeroBadges,NumFriendRequestIgnored,NumFriends,AcquiredSpaceship,AcquiredIonWeapon,TimesLostSpaceship,TimesKilled,TimesCaptain,TimesNavigator,PurchasedCoinPackSmall,PurchasedCoinPackLarge,NumAdsClicked,DaysUser,UserConsole,UserHasOldOS
no,5,19,0,76,0,17,167,no,no,0,0,0,0,yes,no,21,1400,yes,no
no,9,7,0,23,0,70,10,no,no,1,0,0,0,no,no,4,1917,yes,no
no,6,18,0,0,0,0,0,no,no,0,0,9,0,no,no,11,3988,yes,no
no,6,17,0,162,1,40,34,no,no,0,0,0,0,no,no,34,3470,yes,no
no,9,15,0,119,0,2,0,no,no,1,0,0,0,yes,no,5,2282,yes,no
no,5,19,1,2,0,18,0,no,no,5,0,7,8,no,no,11,2496,yes,no
no,9,7,7,203,2,117,4,yes,yes,12,0,0,13,no,yes,36,2861,yes,no
no,7,2,0,0,0,14,0,no,no,0,0,0,0,no,no,5,3166,yes,yes
no,6,14,0,225,0,50,37,no,no,44,0,0,0,no,yes,20,3804,yes,no
no,8,15,0,0,0,0,6,no,no,0,0,0,0,yes,yes,16,2922,yes,no
no,9,12,0,102,0,36,0,no,no,26,0,0,0,no,yes,5,2861,yes,no
no,1,1,0,145,0,70,0,yes,no,0,0,0,0,yes,no,10,2922,yes,no
no,10,2,0,287,0,32,0,yes,no,6,0,0,0,no,yes,1,2892,yes,no
no,7,19,0,12,0,50,91,no,no,9,0,0,0,no,yes,12,1766,no,no
no,7,17,0,57,0,50,2,no,no,0,0,0,0,no,no,8,3623,yes,no
no,9,12,10,184,0,6,0,yes,no,0,0,0,3,yes,no,6,1978,yes,no
no,1,19,0,36,0,2,0,no,no,0,0,0,0,no,yes,10,2374,yes,no
yes,10,19,5,246,2,42,265,no,no,6,0,0,0,no,no,5,2374,yes,no
no,8,28,0,212,0,57,5,no,no,13,0,0,1,yes,no,1,3227,yes,no
no,8,17,0,0,0,0,258,no,no,0,0,0,0,no,no,6,2162,yes,no
no,8,1,0,0,4,10,471,yes,no,0,0,0,0,yes,no,7,2647,yes,no
no,4,7,4,0,0,66,69,yes,no,0,0,0,0,no,no,9,3074,yes,no
no,6,4,0,164,1,46,23,no,no,0,0,0,0,yes,no,25,3227,yes,yes
no,6,22,0,76,0,0,0,yes,no,9,0,0,0,yes,no,6,2588,yes,no
no,2,11,0,3,0,20,0,yes,no,0,0,0,0,no,yes,5,2039,no,no
no,8,22,4,135,0,41,20,yes,no,8,0,7,2,no,yes,22,4049,yes,no
no,7,20,0,0,0,0,11,yes,no,6,0,0,0,no,yes,16,2769,yes,no
no,8,25,0,117,0,74,42,yes,no,0,0,0,0,yes,no,21,1613,yes,no
no,10,16,0,287,0,33,0,no,yes,2,0,0,2,no,no,10,3227,yes,yes
no,5,20,0,7,0,44,486,no,no,5,2,0,0,no,no,8,3500,yes,no
no,5,20,10,0,0,0,34,yes,no,0,0,0,0,no,no,9,1948,yes,no
no,5,12,0,130,0,67,1,no,no,1,0,0,1,no,no,7,2953,yes,no
no,9,13,5,35,0,17,0,yes,yes,0,0,85,8,yes,no,0,2708,yes,no
yes,9,14,0,0,0,0,0,no,no,0,0,3,0,no,yes,9,2009,no,no
no,7,18,0,56,0,5,1,yes,no,9,0,0,0,no,no,21,2708,yes,no
no,1,8,0,0,0,0,0,no,no,0,0,0,0,no,yes,2,3074,yes,no
no,10,3,0,61,0,46,0,no,no,1,0,0,0,yes,no,11,2953,no,no
no,10,22,0,0,0,22,18,yes,no,2,0,0,0,yes,no,12,3804,yes,yes
no,4,10,7,0,3,0,81,yes,no,0,0,0,0,no,no,2,1889,yes,no
no,3,19,0,5,0,1,0,no,no,2,0,0,0,yes,no,12,3470,yes,no
no,5,12,0,0,0,0,21,no,no,0,0,0,0,no,no,12,2313,yes,no
no,1,11,0,468,2,94,47,no,no,33,0,0,5,no,no,7,3531,yes,no
no,7,14,0,0,0,0,4,yes,no,0,0,1,0,no,no,7,1705,yes,no
no,7,15,0,0,0,0,204,no,no,1,0,0,0,no,no,2,2619,yes,yes
no,7,7,0,156,0,48,2,no,no,0,0,0,0,no,no,8,3227,yes,no
no,7,20,0,171,0,79,6,no,no,0,0,9,0,no,no,5,2313,yes,no
no,9,22,1,278,0,23,4,no,no,7,0,0,1,yes,yes,28,3013,yes,no
no,8,17,0,0,0,0,50,no,no,0,0,0,0,yes,no,4,3378,yes,no
no,6,17,1,47,0,69,0,no,no,7,0,0,0,yes,yes,3,3044,yes,no
no,2,2,0,19,0,0,0,no,no,0,0,0,0,no,no,9,3013,yes,no
no,7,2,0,44,0,23,0,no,no,0,0,0,0,no,no,3,2892,yes,no
no,8,2,0,0,0,0,6,no,no,46,0,0,0,yes,no,2,1400,yes,no
no,10,15,5,2,0,10,2,yes,no,0,0,54,45,no,yes,16,3166,yes,no
no,8,19,0,0,0,0,38,yes,no,1,0,0,0,no,no,7,2800,yes,no
no,6,1,0,0,0,1,10,no,no,0,0,0,0,no,yes,5,2374,no,no
no,7,21,0,23,0,31,16,no,no,0,0,0,0,yes,no,13,3653,yes,yes
no,6,14,0,52,0,61,0,no,no,0,0,0,0,no,no,7,2647,no,no
no,9,22,0,254,0,63,172,no,no,206,0,0,0,no,no,1,2404,yes,no
yes,6,3,1,3,0,0,44,yes,no,0,0,0,0,no,yes,34,3439,yes,no
no,4,1,0,0,0,0,0,no,no,0,0,0,0,no,yes,10,2254,no,no
no,5,18,0,0,0,5,0,no,no,9,0,0,0,no,no,8,3684,yes,no
no,9,4,1,0,0,0,130,yes,no,0,0,0,0,yes,no,17,1917,no,no
no,1,1,0,0,0,4,34,no,no,0,0,0,0,no,yes,21,1917,yes,no
no,2,3,0,0,8,0,378,no,no,0,0,0,0,no,no,1,2162,yes,no
no,5,1,0,8,0,54,42,no,no,0,0,0,0,yes,no,1,1674,no,no
no,4,9,0,0,0,0,0,no,no,0,0,0,0,yes,no,9,2953,yes,no
no,5,14,0,286,0,47,0,no,no,34,0,0,0,no,no,2,3927,no,no
no,4,16,0,186,0,8,76,no,no,0,0,0,0,yes,no,8,2009,yes,no
no,9,15,7,328,0,33,1,no,no,19,0,22,18,yes,no,12,2527,yes,no
no,2,18,4,255,0,27,0,no,no,0,0,0,0,no,no,2,3804,yes,no
yes,5,11,7,332,6,57,191,yes,no,0,0,14,0,yes,no,1,3409,yes,no
no,7,15,0,141,0,49,118,no,no,9,0,0,0,yes,no,5,3105,yes,no
yes,7,8,1,2,0,0,111,yes,no,0,13,0,1,no,no,13,2223,yes,no
no,2,2,0,0,9,0,212,no,no,0,0,6,34,no,no,21,3074,yes,no
no,7,19,0,0,0,50,476,yes,no,0,0,10,0,no,no,16,1948,yes,no
no,9,20,0,0,0,0,5,no,no,0,0,0,4,no,no,2,2039,yes,no
yes,8,15,0,119,0,55,37,yes,no,0,0,0,0,no,no,4,4049,yes,no
no,9,12,0,404,0,96,4,no,no,0,0,0,0,no,no,6,3592,yes,no
no,8,14,0,37,0,39,5,yes,no,11,0,0,0,yes,no,0,1858,yes,no
no,10,1,0,49,0,12,0,yes,no,0,0,0,0,no,yes,0,1583,yes,no
no,10,17,0,91,0,9,131,no,no,5,0,0,0,no,yes,7,2343,yes,no
no,9,8,0,25,0,88,385,yes,no,1,0,1,4,no,no,5,2223,yes,no
no,3,6,0,216,0,91,28,yes,no,8,0,0,0,no,no,1,2953,yes,yes
no,7,2,0,173,6,76,63,yes,no,3,0,0,0,yes,no,20,1858,yes,no
no,10,19,0,0,0,0,110,no,no,0,0,0,0,no,no,33,1461,no,no
no,5,18,11,3,9,56,44,no,no,0,0,0,0,no,no,36,2313,yes,no
no,6,18,0,0,0,5,4,yes,no,60,0,0,0,no,no,4,2374,yes,no
no,1,20,0,7,0,12,17,no,no,9,0,0,0,yes,no,6,2647,yes,no
no,7,1,0,15,0,0,366,no,no,13,0,0,0,yes,no,15,3166,yes,no
no,1,2,0,0,0,0,1,no,no,0,0,0,0,no,no,2,2009,no,no
no,9,19,2,32,0,1,3,no,no,1,1,105,25,no,no,1,2619,no,no
yes,9,25,0,0,4,68,168,no,no,1,0,0,0,no,yes,26,2922,yes,no
no,5,5,0,35,0,58,3,no,no,0,0,0,0,no,no,10,3013,yes,no
no,6,14,1,0,0,0,11,no,no,2,0,0,0,no,yes,28,2282,yes,no
no,9,18,0,58,0,70,1,no,no,2,0,0,2,no,no,21,2984,yes,no
no,9,23,17,433,1,50,228,no,no,3,0,27,13,yes,no,35,2831,yes,no
no,6,20,6,13,0,1,37,no,no,0,0,0,0,no,no,4,1644,yes,no
no,9,15,0,0,0,0,0,no,no,0,0,0,0,no,yes,4,3835,no,yes
no,5,16,0,0,0,6,0,no,no,0,0,0,0,no,no,10,1492,yes,no
no,2,19,0,0,0,0,0,no,no,0,0,0,0,yes,no,8,3743,yes,no
yes,6,4,0,8,4,6,371,no,no,0,0,0,0,yes,yes,10,1917,yes,yes
no,8,15,0,0,0,40,340,yes,no,0,0,0,1,yes,no,24,2009,yes,no
no,5,2,0,183,0,69,28,no,no,0,0,0,1,yes,no,11,1917,yes,no
no,7,4,0,65,0,0,3,no,no,0,0,0,0,no,no,9,1917,no,no
no,6,16,5,24,0,43,185,yes,no,0,0,0,7,no,no,3,2282,yes,no
no,8,14,1,164,0,85,0,no,no,2,0,0,0,no,no,5,2070,no,no
no,8,18,2,13,0,39,27,no,no,4,0,60,8,yes,yes,7,2861,no,no
no,3,1,0,0,0,0,0,no,no,0,0,0,0,no,yes,0,2769,yes,no
no,2,11,0,72,0,23,4,no,no,11,0,0,0,no,yes,14,2313,yes,no
no,4,6,0,148,7,50,273,yes,no,0,0,0,0,no,no,0,1766,yes,yes
no,9,8,3,85,0,11,11,no,no,11,0,0,0,yes,no,17,4018,yes,no
no,6,16,0,0,0,49,4,yes,no,3,0,1,0,no,no,5,1766,yes,no
no,7,4,1,0,0,87,0,no,no,0,0,14,0,yes,no,10,3197,yes,no
yes,4,2,0,2,0,0,35,no,no,0,6,0,0,no,yes,25,2374,yes,no
no,6,20,0,2,0,71,6,no,no,1,0,0,8,yes,no,6,2466,yes,no
no,7,5,1,114,0,91,104,no,no,1,0,9,8,yes,no,1,1948,yes,no
no,9,22,0,14,0,45,0,yes,yes,8,0,0,0,no,no,11,2861,yes,no
no,9,17,0,572,1,104,8,no,no,8,0,0,0,no,no,9,1978,no,no
no,5,1,0,13,0,0,34,no,no,0,0,0,0,no,no,1,2282,no,no
no,5,1,0,0,0,0,427,no,no,0,0,0,0,no,no,8,2739,yes,no
no,3,4,1,332,0,121,46,no,no,5,0,0,0,no,yes,8,2162,yes,no
no,6,11,0,55,0,33,275,no,no,7,0,0,0,yes,no,8,2984,yes,no
no,10,19,0,33,1,53,26,no,no,8,0,0,0,yes,no,7,2131,yes,no
no,6,18,0,0,0,0,9,yes,no,0,0,0,3,no,no,22,2466,yes,no
no,9,14,2,0,0,76,55,no,no,0,0,7,6,yes,no,8,2831,yes,no
no,1,1,0,0,0,0,0,no,no,0,0,0,0,no,no,10,2619,no,no
no,10,7,6,32,0,0,0,yes,no,0,0,13,0,no,no,11,3350,yes,no
no,8,1,0,0,0,6,1,no,no,0,0,0,0,no,no,12,2223,yes,no
no,3,8,0,154,0,0,0,no,no,0,0,0,0,no,no,8,3074,yes,no
no,7,8,2,0,0,0,0,yes,no,0,0,0,0,no,yes,4,2678,yes,no
no,6,10,0,74,3,72,136,no,no,0,0,0,0,yes,yes,22,2984,yes,no
no,10,19,0,481,0,103,13,yes,no,16,0,0,0,no,no,3,1400,yes,no
no,8,21,0,58,0,51,0,no,no,0,0,0,0,no,yes,1,1917,yes,no
no,7,17,4,42,0,69,2,yes,no,20,0,1,0,no,yes,21,2831,yes,no
no,4,4,0,2,0,46,28,no,no,0,0,2,0,no,no,11,2282,no,no
no,4,20,0,80,5,67,24,no,no,3,0,0,0,no,no,1,2588,yes,no
no,4,5,0,49,0,20,28,no,no,0,0,0,0,yes,no,12,2892,yes,yes
no,9,19,9,15,0,88,50,yes,no,1,0,0,0,no,no,3,2647,yes,no
no,6,4,0,0,0,26,112,no,no,0,0,0,0,no,no,1,3743,yes,no
no,5,4,0,0,0,0,0,no,no,1,0,0,0,no,no,1,2800,yes,no
no,2,13,0,0,0,0,244,no,no,0,1,0,0,no,no,9,2647,yes,no
no,9,10,0,162,2,109,27,no,no,40,0,11,12,yes,yes,4,2254,yes,no
no,8,19,12,25,0,22,0,yes,no,0,0,3,170,no,yes,7,3074,no,no
no,8,6,1,0,0,0,19,no,no,0,0,0,0,yes,no,7,3592,yes,no
no,7,12,0,0,0,0,17,no,no,0,0,0,0,no,no,4,3439,yes,no
no,9,17,0,203,0,32,0,yes,no,27,0,0,0,yes,yes,0,3774,yes,no
no,2,18,0,8,0,0,1,yes,no,1,0,0,0,yes,yes,21,1978,no,no
no,2,16,0,99,0,53,10,yes,no,0,0,1,0,yes,yes,5,2223,yes,no
no,9,25,3,23,1,105,469,yes,no,3,0,7,9,yes,no,3,2162,yes,no
no,9,28,0,37,0,0,3,no,no,9,0,0,1,no,no,24,3166,yes,no
no,7,15,0,80,0,39,46,no,no,0,0,0,0,yes,no,8,1705,yes,no
no,2,11,2,0,0,0,5,yes,no,0,0,0,0,no,no,9,2039,yes,no
no,6,14,0,83,1,75,8,no,no,19,0,0,0,no,no,4,2282,yes,no
yes,10,12,0,56,0,17,78,no,no,0,0,0,0,yes,no,18,1370,yes,no
no,5,16,0,0,0,0,0,no,no,0,0,0,0,no,yes,3,3013,no,no
yes,10,22,17,0,0,32,25,yes,no,0,0,0,5,yes,no,17,1917,yes,no
no,9,14,0,114,1,27,25,no,no,0,0,0,5,yes,no,14,2496,yes,no
no,5,12,0,138,0,23,0,no,no,5,0,0,0,no,no,6,2254,yes,no
no,10,19,4,103,3,48,4,yes,no,8,0,0,10,yes,no,5,3013,yes,no
yes,9,13,12,81,0,44,1,yes,no,0,0,0,4,no,yes,4,2557,yes,yes
no,5,19,0,47,0,43,474,no,yes,0,0,0,0,yes,no,3,1400,yes,no
yes,2,11,8,0,8,33,152,yes,no,0,0,4,0,no,no,10,2527,yes,no
no,9,13,5,36,0,4,147,yes,no,2,0,0,0,no,no,31,1917,yes,no
no,8,1,0,0,0,22,64,no,no,0,0,0,0,no,yes,2,2557,no,no
no,8,19,0,0,1,54,57,yes,no,12,0,0,0,yes,no,13,2282,yes,no
no,10,12,4,0,0,0,113,no,yes,0,0,4,15,no,no,13,2769,yes,no
no,2,6,0,145,0,23,0,no,no,35,0,0,0,no,yes,11,2192,yes,no
no,4,12,1,131,1,37,56,no,no,1,0,0,0,no,no,2,1066,yes,no
no,9,26,0,83,0,49,224,no,no,1,0,0,0,no,yes,21,3074,yes,no
no,6,20,0,20,0,9,3,yes,no,0,0,3,5,no,no,13,2131,yes,no
no,6,2,0,16,0,37,0,no,no,0,0,0,0,no,yes,1,2678,yes,no
no,10,11,0,137,0,37,245,yes,no,0,0,0,0,no,no,16,2922,yes,yes
no,4,3,2,0,0,0,7,no,no,0,0,0,0,no,yes,28,2527,yes,no
no,7,14,0,0,0,0,1,no,no,0,0,0,0,no,yes,19,3653,no,no
no,9,4,0,0,0,0,153,no,no,0,0,0,0,yes,no,7,2374,yes,no
no,8,18,0,119,0,0,0,no,no,0,0,0,0,no,no,8,2496,yes,no
no,9,11,1,0,0,0,0,no,no,0,0,1,0,no,no,10,3378,no,no
no,10,22,4,175,0,55,0,no,no,14,0,0,0,no,yes,8,2009,yes,no
no,8,18,0,184,0,74,0,no,no,0,0,0,0,no,no,11,3409,yes,no
no,5,19,0,134,3,50,55,no,no,0,0,0,0,yes,yes,6,2039,yes,yes
no,2,1,0,0,0,0,18,no,no,0,0,0,0,no,no,5,2192,yes,no
no,7,23,0,5,0,0,37,no,no,3,0,0,0,no,no,9,2131,yes,no
no,10,18,0,179,0,94,15,no,no,9,0,0,0,no,no,21,4108,yes,no
no,6,19,0,1,0,0,0,no,no,0,0,0,0,no,no,12,2769,yes,no
no,8,17,0,223,0,46,0,yes,no,7,0,0,22,yes,yes,5,3105,yes,no
yes,9,28,18,629,4,78,9,no,no,3,0,0,0,no,no,2,1674,yes,no
no,9,9,2,0,2,61,451,no,no,0,0,0,0,no,yes,28,2678,yes,no
no,4,1,0,91,0,0,8,no,no,0,0,0,0,yes,no,2,2678,yes,no
no,2,6,0,85,0,38,0,no,no,0,0,0,0,no,no,5,2496,no,no
no,6,6,0,93,0,26,0,no,no,0,0,0,0,no,yes,5,2769,yes,no
no,10,20,4,145,9,70,138,yes,no,6,0,0,3,yes,yes,2,2313,yes,no
no,5,14,0,45,0,7,0,no,no,0,0,0,0,no,no,12,2647,yes,no
no,6,17,0,0,0,16,0,no,no,1,0,0,0,no,yes,6,3258,yes,no
no,10,18,0,114,0,53,62,no,no,0,4,0,0,no,no,28,3074,yes,no
no,8,10,0,122,0,69,9,yes,no,0,0,0,0,yes,no,1,2527,yes,no
no,10,18,0,0,0,0,28,no,no,1,0,0,0,yes,yes,24,3105,yes,no
no,3,1,0,0,0,3,47,no,no,0,0,0,0,yes,no,5,1766,no,no
no,8,9,8,62,0,9,41,yes,no,0,0,0,0,no,yes,19,2101,no,no
no,7,8,0,3,0,63,3,no,no,3,0,2,0,yes,yes,2,2557,yes,no
no,3,16,0,124,1,119,49,yes,no,6,0,0,0,no,no,2,2708,yes,yes
no,8,12,0,0,0,0,0,no,no,0,0,0,0,no,no,8,2466,yes,yes
no,9,11,0,0,0,1,1,no,no,0,0,0,0,no,no,22,2861,yes,no
no,7,13,0,81,1,0,31,yes,no,3,0,0,0,yes,no,23,2800,yes,no
no,7,19,0,147,0,58,0,no,no,0,0,0,0,no,no,2,2647,yes,no
no,10,20,0,77,0,60,8,yes,no,25,0,0,0,no,no,5,1613,no,no
no,5,5,1,13,1,88,29,yes,no,0,0,0,109,yes,yes,8,2162,no,no
no,2,1,0,1,0,34,3,no,no,0,0,0,0,yes,no,9,1827,no,no
no,2,9,0,0,0,0,0,no,no,0,0,0,0,no,no,3,1552,no,no
no,10,4,3,108,0,2,10,no,no,0,0,0,0,no,no,36,3227,yes,no
no,9,17,0,0,0,0,0,no,no,3,0,0,0,no,no,2,2619,yes,no
no,2,6,0,92,0,59,8,no,no,0,0,0,0,no,no,8,2162,no,no
no,10,23,0,175,0,70,40,no,no,0,0,0,0,yes,no,12,3258,yes,no
no,6,23,0,255,3,93,3,no,no,5,0,0,0,no,no,13,3166,no,no
yes,6,11,0,0,0,0,92,no,no,0,0,0,0,no,yes,23,3715,yes,no
no,2,2,0,105,0,0,0,no,no,0,0,0,0,no,no,6,3865,yes,no
no,7,4,0,61,0,20,6,no,no,8,8,1,0,no,yes,2,2070,yes,no
no,5,1,0,0,0,0,0,no,no,0,7,0,0,yes,yes,7,3197,yes,no
no,9,17,4,0,0,0,0,yes,no,23,0,5,0,no,yes,6,2647,yes,no
no,6,1,0,0,0,0,142,yes,no,0,0,0,0,yes,no,9,1889,yes,no
no,9,21,0,360,0,117,151,no,no,5,0,0,3,no,no,6,2223,yes,no
no,10,7,1,58,0,0,0,no,no,1,0,1,0,no,no,0,2223,yes,no
no,5,7,0,154,0,26,0,no,no,2,0,0,0,no,no,1,1431,no,no
no,7,4,0,0,0,0,1,no,no,0,0,0,0,no,yes,3,2374,yes,no
no,7,10,0,185,0,17,0,yes,no,16,0,13,0,yes,no,3,1889,yes,no
no,8,1,0,0,0,0,0,no,no,0,0,0,0,no,yes,11,3288,yes,no
no,6,17,4,0,0,0,9,no,no,0,0,21,5,yes,no,16,2739,no,no
no,4,1,0,0,0,0,0,no,no,0,0,0,0,yes,no,6,1613,yes,no
no,6,15,5,251,0,51,2,yes,no,10,0,7,0,no,yes,24,1978,yes,no
no,10,17,0,0,0,0,0,no,no,0,0,0,0,no,no,5,3927,yes,no
no,4,11,0,0,0,0,0,no,no,0,0,0,0,no,yes,4,2282,no,yes
no,2,1,0,296,0,61,0,no,no,0,0,0,0,yes,no,9,1917,yes,no
no,6,1,0,0,0,1,30,no,no,0,0,0,0,no,no,1,2831,no,no
no,1,10,0,0,0,0,1,no,no,0,0,0,0,yes,no,18,2404,yes,no
no,5,4,0,0,0,0,39,no,no,0,0,0,0,yes,no,2,2496,yes,no
yes,5,1,0,24,0,0,9,no,no,0,0,0,0,no,yes,12,2678,yes,no
no,8,19,14,203,0,56,1,yes,no,10,0,18,5,no,no,16,2678,no,no
no,9,14,0,0,0,0,0,no,no,0,0,0,0,no,no,12,3743,yes,no
no,7,10,0,260,0,113,47,no,no,0,0,0,0,yes,yes,1,2892,yes,no
no,9,22,0,632,0,121,3,yes,no,14,0,2,5,no,no,7,2892,yes,no
no,2,4,0,27,0,10,7,no,no,0,0,0,0,no,no,6,1158,no,no
no,5,10,3,0,0,8,29,no,no,0,0,0,0,no,no,13,2739,no,no
no,1,1,0,0,0,0,0,yes,no,0,0,0,0,no,no,11,1613,yes,no
no,2,19,0,0,1,0,16,no,no,0,0,0,0,no,no,11,3350,no,no
no,8,16,0,277,0,46,0,no,no,3,0,0,0,no,yes,4,3166,no,no
no,4,2,0,50,0,25,55,no,no,4,0,0,0,no,no,6,1948,yes,no
no,5,10,0,0,0,33,3,yes,no,1,0,0,0,no,no,4,1613,yes,yes
yes,5,11,8,0,0,0,5,no,no,0,10,0,0,no,no,9,3288,yes,no
no,9,9,0,0,0,26,191,no,no,0,0,0,0,no,no,9,2527,yes,no
no,9,18,8,520,0,68,0,yes,no,1,0,6,0,no,yes,5,1523,yes,no
no,8,18,0,270,0,37,0,no,no,2,0,1,0,yes,no,3,2192,yes,no
no,6,18,0,325,0,89,5,no,no,5,0,0,0,no,no,8,2343,yes,no
no,5,9,0,0,0,19,12,yes,no,0,0,0,0,yes,yes,16,2739,yes,no
no,7,20,5,264,0,98,7,no,no,0,0,0,0,no,no,6,2769,yes,yes
no,10,8,7,0,0,8,1,yes,no,1,0,17,4,no,no,21,3500,yes,no
no,10,8,0,86,0,33,0,no,no,4,0,0,0,no,no,5,3439,yes,no
no,2,10,0,0,0,4,0,no,no,1,0,0,1,yes,no,8,1917,no,no
no,6,14,3,30,0,10,8,no,no,1,0,0,0,no,yes,16,2588,yes,no
no,4,8,0,0,0,0,25,no,no,0,0,0,0,yes,no,4,2466,no,yes
no,8,20,0,9,0,28,1,no,no,14,0,0,13,no,no,9,2162,yes,no
no,4,5,0,218,0,69,0,no,no,7,0,0,0,no,no,3,3623,yes,yes
no,3,14,0,0,0,0,16,no,no,0,0,0,0,no,no,22,2831,yes,no
no,9,18,0,0,0,26,0,no,no,0,0,2,0,no,no,9,2892,yes,no
no,1,2,0,37,0,5,0,no,no,0,0,0,0,no,no,1,2282,yes,no
no,3,19,0,320,2,49,4,no,no,4,0,0,0,no,yes,13,3319,yes,no
no,7,18,10,274,0,7,0,yes,no,1,0,17,0,no,no,6,4049,yes,no
no,10,8,0,0,0,3,0,no,no,0,6,0,0,no,no,4,2922,yes,no
no,9,1,0,0,0,0,17,no,no,0,0,0,0,no,yes,7,2282,yes,no
no,6,4,0,7,0,14,0,no,no,0,0,3,5,yes,no,7,3927,yes,no
no,5,10,0,0,0,0,2,no,no,0,0,0,0,no,yes,31,1948,yes,no
no,7,19,0,155,0,115,283,no,no,36,0,0,0,no,no,8,2769,yes,no
no,9,18,16,24,12,60,140,yes,no,7,0,321,322,yes,no,20,2223,yes,no
